Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
R Rampaul (WI),2007­2015,23,6,5,12,8,12.00,21,57.14,0,0,0,0,0
MA Starc (AUS),2012­2016,22,6,2,12,4,3.00,18,66.66,0,0,0,0,0
Fayyaz Ahmed (UAE),2015­2015,1,1,0,11,11,11.00,12,91.66,0,0,0,2,0
AJ Hall (SA),2006­2006,2,1,0,11,11,11.00,10,110.00,0,0,0,1,0
Inzamam­ul­Haq (PAK),2006­2006,1,1,1,11,11*,­,15,73.33,0,0,0,0,1
Khurram Manzoor (PAK),2016­2016,3,3,0,11,10,3.66,27,40.74,0,0,1,1,0
KS Lokuarachchi (SL),2012­2012,2,2,0,11,11,5.50,13,84.61,0,0,1,1,0
WK McCallan (IRE),2008­2009,9,3,2,11,9*,11.00,15,73.33,0,0,1,1,0
AK Mandal (Nepal),2015­2015,2,2,0,11,9,5.50,25,44.00,0,0,0,0,0
AA Mulla (Can),2008­2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0
V Shetty (UAE),2014­2014,2,2,1,11,10,11.00,13,84.61,0,0,0,1,0
CA Soper (PNG),2015­2016,3,2,2,11,8*,­,21,52.38,0,0,0,0,0
SW Tait (AUS),2007­2016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1
RM West (IRE),2009­2009,5,4,1,11,8,3.66,11,100.00,0,0,0,1,0
Yasir Shah (PAK),2011­2011,2,1,1,11,11*,­,7,157.14,0,0,0,1,0
CS Baugh (WI),2008­2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0
FH Edwards (WI),2007­2012,20,4,2,10,7*,5.00,9,111.11,0,0,1,1,0
MJ Henry (NZ),2014­2016,5,2,1,10,10,10.00,5,200.00,0,0,0,2,0
S Jyoti (Can),2008­2008,2,2,1,10,10*,10.00,20,50.00,0,0,1,0,0
RWT Key (ENG),2009­2009,1,1,1,10,10*,­,8,125.00,0,0,0,0,0
HG Kuhn (SA),2009­2011,5,4,2,10,5*,5.00,16,62.50,0,0,0,0,0
M Ntini (SA),2005­2011,10,4,2,10,5,5.00,11,90.90,0,0,1,2,0
PP Ojha (INDIA),2009­2010,6,1,1,10,10*,­,6,166.66,0,0,0,0,1
BA Parchment (WI),2007­2007,1,1,0,10,10,10.00,6,166.66,0,0,0,1,1
N Pokana (PNG),2016­2016,3,2,1,10,8*,10.00,17,58.82,0,0,0,0,0
P Raho (PNG),2016­2016,2,2,2,10,8*,­,6,166.66,0,0,0,0,1
ACL Richards (WI),2007­2007,1,1,0,10,10,10.00,15,66.66,0,0,0,1,0
MP Stoinis (AUS),2015­2015,1,1,1,10,10*,­,8,125.00,0,0,0,1,0
ZE Surkari (Can),2008­2008,4,3,0,10,6,3.33,33,30.30,0,0,1,0,0
SR Tendulkar (INDIA),2006­2006,1,1,0,10,10,10.00,12,83.33,0,0,0,2,0
RJ Trott (Ber),2008­2008,3,3,1,10,8,5.00,24,41.66,0,0,1,0,0
Abul Hasan (BDESH),2012­2012,4,1,0,9,9,9.00,8,112.50,0,0,0,1,0
Afsar Zazai (AFG),2013­2013,1,1,0,9,9,9.00,21,42.85,0,0,0,0,0
AC Agar (AUS),2016­2016,2,1,0,9,9,9.00,8,112.50,0,0,0,0,1
JJ Celestine (Ber),2008­2008,3,3,0,9,7,3.00,17,52.94,0,0,1,0,0
FRJ Coleman (SCOT),2013­2013,1,1,0,9,9,9.00,13,69.23,0,0,0,1,0
Elias Sunny (BDESH),2012­2012,7,4,2,9,5,4.50,9,100.00,0,0,0,1,0
KM Jarvis (ZIM),2011­2013,9,5,2,9,9*,3.00,17,52.94,0,0,3,0,0
R McLaren (SA),2009­2014,12,4,3,9,6*,9.00,13,69.23,0,0,0,0,0
Mohammad Asif (PAK),2006­2010,11,3,3,9,5*,­,3,300.00,0,0,0,2,0
AR Nurse (WI),2011­2015,4,2,1,9,6*,9.00,8,112.50,0,0,0,1,0
JS Patel (NZ),2005­2008,11,4,1,9,5,3.00,14,64.28,0,0,1,1,0
WKD Perkins (WI),2008­2008,1,1,0,9,9,9.00,11,81.81,0,0,0,1,0
JB Reva (PNG),2015­2016,3,2,0,9,7,4.50,12,75.00,0,0,0,0,1
KW Richardson (AUS),2014­2016,3,1,0,9,9,9.00,7,128.57,0,0,0,0,0
IH Romaine (Ber),2008­2008,2,2,0,9,8,4.50,20,45.00,0,0,0,0,0
Sikander Zulfiqar (Neth),2016­2016,2,1,1,9,9*,­,12,75.00,0,0,0,0,0
TP Visee (Neth),2015­2015,2,2,0,9,5,4.50,14,64.28,0,0,0,1,0
CAK Walton (WI),2014­2016,3,3,0,9,9,3.00,12,75.00,0,0,2,0,1
AM Blignaut (ZIM),2010­2010,1,1,0,8,8,8.00,8,100.00,0,0,0,1,0
