Player                                         Span,,Mat   Inns   NO   Runs,,,,,HS,Ave,BF,SR,100,50,0,4s,6s
GH Bodi (SA),2007­2007,,1,1,0,8,8,8.00,25,32.00,0,0,0,0,0
TL Chatara (ZIM),2010­2016,,11,1,0,8,8,8.00,7,114.28,0,0,0,1,0
AS Dean (Can),2008­2013,,2,2,0,8,7,4.00,10,80.00,0,0,0,0,0
B Fernando (SL),2015­2015,,2,1,1,8,8*,­,12,66.66,0,0,0,1,0
HMRKB Herath (SL),2011­2016,,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0
S Randiv (SL),2010­2011,,7,2,0,8,6,4.00,6,133.33,0,0,0,1,0
BAW Mendis (SL),2008­2014,,39,8,5,8,4*,2.66,17,47.05,0,0,0,1,0
Mustafizur Rahman (BDESH),2015­2016,,13,5,1,8,6,2.00,11,72.72,0,0,2,0,1
SS Pathirana (SL),2016­2016,,2,2,0,8,6,4.00,7,114.28,0,0,0,1,0
Rubel Hossain (BDESH),2009­2014,,11,4,3,8,8*,8.00,13,61.53,0,0,1,1,0
Shahadat Hossain (BDESH),2006­2013,,6,5,3,8,4*,4.00,12,66.66,0,0,1,0,0
I Sharma (INDIA),2008­2013,,14,3,2,8,5*,8.00,9,88.88,0,0,1,1,0
BV Vitori (ZIM),2012­2016,,11,2,2,8,7*,­,7,114.28,0,0,0,0,0
Al­Amin Hossain (BDESH),2013­2016,,25,5,3,7,5*,3.50,12,58.33,0,0,1,1,0
RP Arnold (SL),2006­2006,,1,1,0,7,7,7.00,7,100.00,0,0,0,0,0
NB Budayair (Nepal),2014­2014,,4,3,1,7,5,3.50,19,36.84,0,0,1,0,0
MA Carberry (ENG),2014­2014,,1,1,0,7,7,7.00,7,100.00,0,0,0,1,0
P Kumar (INDIA),2008­2012,,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
ND McKenzie (SA),2006­2009,,2,1,1,7,7*,­,8,87.50,0,0,0,0,0
HM Nicholls (NZ),2016­2016,,1,1,0,7,7,7.00,11,63.63,0,0,0,1,0
Qadeer Ahmed (UAE),2015­2016,,8,4,3,7,5*,7.00,12,58.33,0,0,1,1,0
GA Rogers (SCOT),2008­2009,,2,2,2,7,6*,­,8,87.50,0,0,0,0,0
E Schiferli (Neth),2008­2010,,7,3,1,7,5*,3.50,16,43.75,0,0,1,0,0
JN Snape (ENG),2007­2007,,1,1,0,7,7,7.00,11,63.63,0,0,0,0,0
Syed Rasel (BDESH),2007­2008,,8,3,1,7,6,3.50,9,77.77,0,0,0,1,0
LV van Beek (Neth),2014­2016,,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,0
A Zampa (AUS),2016­2016,,8,2,2,7,5*,­,6,116.66,0,0,0,0,0
D Bishoo (WI),2011­2015,,5,2,1,6,6*,6.00,6,100.00,0,0,1,1,0
DG Brownlie (NZ),2010­2014,,5,5,0,6,5,1.20,18,33.33,0,0,3,1,0
RMS Eranga (SL),2012­2013,,3,1,0,6,6,6.00,7,85.71,0,0,0,1,0
NM Hauritz (AUS),2009­2009,,3,2,0,6,4,3.00,10,60.00,0,0,0,1,0
PJ Hughes (AUS),2014­2014,,1,1,0,6,6,6.00,8,75.00,0,0,0,1,0
Javed Ahmadi (AFG),2012­2012,,2,1,0,6,6,6.00,5,120.00,0,0,0,1,0
KO Meth (ZIM),2012­2012,,2,1,1,6,6*,­,6,100.00,0,0,0,0,0
AM Phangiso (SA),2012­2016,,11,2,0,6,4,3.00,10,60.00,0,0,0,0,0
JA Rudolph (SA),2006­2006,,1,1,1,6,6*,­,7,85.71,0,0,0,0,0
R Strydom (IRE),2008­2008,,4,2,1,6,5*,6.00,7,85.71,0,0,0,0,0
SA Abbott (AUS),2014­2014,,3,1,0,5,5,5.00,8,62.50,0,0,0,1,0
M Ansari (Oman),2015­2016,,11,4,4,5,3*,­,10,50.00,0,0,0,0,0
MS Atapattu (SL),2006­2006,,2,1,0,5,5,5.00,8,62.50,0,0,0,0,0
IG Butler (NZ),2009­2013,,19,6,5,5,2*,5.00,10,50.00,0,0,0,0,0
N Dickwella (SL),2016­2016,,3,2,0,5,4,2.50,5,100.00,0,0,0,1,0
Karan KC (Nepal),2015­2015,,5,4,2,5,2*,2.50,16,31.25,0,0,1,0,0
GD McGrath (AUS),2005­2005,,2,1,0,5,5,5.00,12,41.66,0,0,0,0,0
CS Martin (NZ),2007­2008,,6,1,1,5,5*,­,6,83.33,0,0,0,0,0
Mohammad Salman (PAK),2011­2011,,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
T Mupariwa (ZIM),2007­2008,,4,2,2,5,3*,­,3,166.66,0,0,0,0,0
N M'shangwe (ZIM),2013­2014,,5,2,1,5,5*,5.00,4,125.00,0,0,1,1,0
JL Pattinson (AUS),2011­2012,,4,2,2,5,5*,­,3,166.66,0,0,0,1,0
LE Plunkett (ENG),2006­2016,,9,3,1,5,4,2.50,6,83.33,0,0,0,0,0
