Player                                         Span,,Mat   Inns   NO   Runs,,,,,HS,Ave,BF,SR,100,50,0,4s,6s
RJ Harris (AUS),2010­2010,,3,1,1,2,2*,­,1,200.00,0,0,0,0,0
BW Hilfenhaus (AUS),2007­2012,,7,3,1,2,2,1.00,10,20.00,0,0,1,0,0
H Hiri (PNG),2016­2016,,2,2,0,2,1,1.00,5,40.00,0,0,0,0,0
JO Holder (WI),2014­2015,,4,1,0,2,2,2.00,4,50.00,0,0,0,0,0
AJ Ireland (ZIM),2006­2006,,1,1,1,2,2*,­,3,66.66,0,0,0,0,0
A Khan (ENG),2009­2009,,1,1,0,2,2,2.00,4,50.00,0,0,0,0,0
RJ Kirtley (ENG),2007­2007,,1,1,1,2,2*,­,4,50.00,0,0,0,0,0
RAS Lakmal (SL),2011­2016,,8,4,2,2,1*,1.00,4,50.00,0,0,1,0,0
MJ Mason (NZ),2006­2008,,3,1,0,2,2,2.00,2,100.00,0,0,0,0,0
Najeeb Amar (HK),2014­2014,,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0
L Nou (PNG),2015­2015,,3,1,1,2,2*,­,3,66.66,0,0,0,0,0
Shahid Wasif (HK),2016­2016,,1,1,1,2,2*,­,4,50.00,0,0,0,0,0
JNK Shannon (IRE),2013­2016,,2,2,0,2,2,1.00,7,28.57,0,0,1,0,0
LL Tsotsobe (SA),2009­2014,,23,3,2,2,1*,2.00,10,20.00,0,0,0,0,0
I Udana (SL),2009­2016,,7,3,1,2,1*,1.00,9,22.22,0,0,1,0,0
Usman Khan (PAK),2013­2013,,2,1,1,2,2*,­,3,66.66,0,0,0,0,0
R Vinay Kumar (INDIA),2010­2013,,9,1,1,2,2*,­,4,50.00,0,0,0,0,0
UWMBCA Welegedara (SL),2010­2010,,2,1,1,2,2*,­,3,66.66,0,0,0,0,0
BTJ Wheal (SCOT),2016­2016,,2,1,1,2,2*,­,2,100.00,0,0,0,0,0
CA Young (IRE),2015­2016,,11,2,2,2,2*,­,5,40.00,0,0,0,0,0
Zaheer Maqsood (UAE),2015­2016,,3,1,0,2,2,2.00,5,40.00,0,0,0,0,0
Aftab Alam (AFG),2012­2015,,6,2,2,1,1*,­,4,25.00,0,0,0,0,0
JM Anderson (ENG),2007­2009,,19,4,3,1,1*,1.00,2,50.00,0,0,1,0,0
TD Astle (NZ),2016­2016,,2,1,0,1,1,1.00,5,20.00,0,0,0,0,0
DE Bernard (WI),2009­2009,,1,1,1,1,1*,­,1,100.00,0,0,0,0,0
Bilal Khan (Oman),2015­2016,,12,3,2,1,1*,1.00,3,33.33,0,0,1,0,0
DE Bollinger (AUS),2011­2014,,9,2,2,1,1*,­,1,100.00,0,0,0,0,0
DR Brown (SCOT),2007­2007,,2,1,0,1,1,1.00,5,20.00,0,0,0,0,0
CD de Lange (SCOT),2015­2016,,4,1,0,1,1,1.00,2,50.00,0,0,0,0,0
R Dhawan (INDIA),2016­2016,,1,1,1,1,1*,­,2,50.00,0,0,0,0,0
Dhiman Ghosh (BDESH),2008­2008,,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
HH Dippenaar (SA),2006­2006,,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
AC Evans (SCOT),2015­2016,,11,4,1,1,1*,0.33,8,12.50,0,0,3,0,0
Hashmatullah Shahidi (AFG),2013­2013,,1,1,1,1,1*,­,1,100.00,0,0,0,0,0
JS Jesani (Kenya),2007­2007,,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
MBS Jonkman (Neth),2010­2010,,3,1,0,1,1,1.00,8,12.50,0,0,0,0,0
GE Kidd (IRE),2010­2010,,1,1,1,1,1*,­,1,100.00,0,0,0,0,0
VJ Kingma (Neth),2016­2016,,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
DS Kulkarni (INDIA),2016­2016,,2,1,1,1,1*,­,1,100.00,0,0,0,0,0
J Lewis (ENG),2005­2007,,2,2,1,1,1,1.00,4,25.00,0,0,0,0,0
J Louw (SA),2008­2009,,2,1,1,1,1*,­,1,100.00,0,0,0,0,0
SI Mahmood (ENG),2006­2009,,4,2,2,1,1*,­,2,50.00,0,0,0,0,0
RD McCann (IRE),2012­2012,,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0
J Mulder (IRE),2016­2016,,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
M Muralitharan (SL),2006­2010,,12,2,0,1,1,0.50,5,20.00,0,0,1,0,0
M Nasim Baras (AFG),2015­2015,,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0
ML Nkala (ZIM),2006­2006,,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
MS Panesar (ENG),2007­2007,,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
SD Parry (ENG),2014­2015,,5,1,0,1,1,1.00,1,100.00,0,0,0,0,0
MDK Perera (SL),2011­2011,,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0
