Player                                              Span,,              Mat      Inns   NO    Runs,,,,,HS,Ave,BF,SR,100,50,0,4s,6s
DBL Powell (WI),2007­2007,,5,1,1,1,1*,­,1,100.00,0,0,0,0,0
EC Rainsford (ZIM),2010­2010,,2,1,1,1,1*,­,2,50.00,0,0,0,0,0
Sandeep Sharma (INDIA),2015­2015,,2,1,1,1,1*,­,1,100.00,0,0,0,0,0
Sayed Shirzad (AFG),2015­2016,,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0
PM Siddle (AUS),2009­2010,,2,1,1,1,1*,­,1,100.00,0,0,0,0,0
Suhrawadi Shuvo (BDESH),2010­2010,,1,1,1,1,1*,­,3,33.33,0,0,0,0,0
EP Thompson (NZ),2008­2008,,1,1,1,1,1*,­,1,100.00,0,0,0,0,0
RJW Topley (ENG),2015­2016,,6,1,1,1,1*,­,2,50.00,0,0,0,0,0
TE Tucker (Ber),2008­2008,,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
I Wardlaw (SCOT),2013­2013,,4,1,0,1,1,1.00,3,33.33,0,0,0,0,0
G Wijekoon (SL),2007­2007,,3,2,1,1,1*,1.00,5,20.00,0,0,1,0,0
Yamin Ahmadzai (AFG),2015­2015,,2,1,1,1,1*,­,1,100.00,0,0,0,0,0
Aizaz Cheema (PAK),2011­2012,,5,1,1,0,0*,­,3,0.00,0,0,0,0,0
MS Aulakh (Can),2012­2013,,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0
CT Bancroft (AUS),2016­2016,,1,1,1,0,0*,­,0,­,0,0,0,0,0
IDR Bradshaw (WI),2006­2006,,1,1,1,0,0*,­,0,­,0,0,0,0,0
DR Briggs (ENG),2012­2014,,7,1,1,0,0*,­,0,­,0,0,0,0,0
JJ Bumrah (INDIA),2016­2016,,21,2,1,0,0*,0.00,2,0.00,0,0,1,0,0
AF Buurman (Neth),2010­2010,,4,2,0,0,0,0.00,4,0.00,0,0,2,0,0
PP Chawla (INDIA),2010­2012,,7,1,0,0,0,0.00,1,0.00,0,0,1,0,0
DO Christian (WI),2011­2011,,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0
SS Cottrell (WI),2014­2015,,6,1,0,0,0,0.00,1,0.00,0,0,1,0,0
A Dananjaya (SL),2012­2013,,5,1,1,0,0*,­,0,­,0,0,0,0,0
N Pradeep (SL),2016­2016,,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
SM Harwood (AUS),2007­2009,,3,1,1,0,0*,­,0,­,0,0,0,0,0
T Henderson (SA),2006­2006,,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
KC Hodsoll (Ber),2008­2008,,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
Iftikhar Ahmed (PAK),2016­2016,,1,1,1,0,0*,­,0,­,0,0,0,0,0
Imran Khan (1) (PAK),2015­2015,,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
Izatullah Dawlatzai (AFG),2012­2012,,4,1,1,0,0*,­,3,0.00,0,0,0,0,0
S Keshvani (Can),2010­2010,,2,1,1,0,0*,­,1,0.00,0,0,0,0,0
RN Lewis (WI),2008­2008,,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0
J Little (IRE),2016­2016,,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0
AJ McKay (NZ),2010­2010,,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
GI Maiden (SCOT),2008­2008,,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
A Mehmood (HK),2016­2016,,2,1,1,0,0*,­,1,0.00,0,0,0,0,0
Mohammad Kashif (Neth),2010­2010,,3,1,1,0,0*,­,0,­,0,0,0,0,0
Mohammad Qazi (Can),2008­2008,,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
HJC Mol (Neth),2008­2008,,4,1,0,0,0,0.00,1,0.00,0,0,1,0,0
JK Mukhiya (Nepal),2014­2015,,4,1,1,0,0*,­,0,­,0,0,0,0,0
T Muzarabani (ZIM),2015­2016,,9,1,1,0,0*,­,2,0.00,0,0,0,0,0
A Nel (SA),2005­2007,,2,1,1,0,0*,­,2,0.00,0,0,0,0,0
AA Noffke (AUS),2007­2008,,2,1,0,0,0,0.00,0,­,0,0,1,0,0
MM Patel (INDIA),2011­2011,,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
PDRL Perera (SL),2006­2006,,2,2,2,0,0*,­,0,­,0,0,0,0,0
DM Richards (WI),2009­2009,,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
K Santokie (WI),2011­2014,,12,1,1,0,0*,­,0,­,0,0,0,0,0
A Shahzad (ENG),2010­2011,,3,1,1,0,0*,­,3,0.00,0,0,0,0,0
Shakeel Ansar (PAK),2012­2012,,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
MS Sinclair (NZ),2005­2007,,2,2,0,0,0,0.00,5,0.00,0,0,2,0,0
