Player                                       Span,,Mat    Inns   NO,,,,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
IS Sodhi (NZ),2014­2016,,10,1,1,0,0*,­,0,­,0,0,0,0,0
Tanveer Ahmed (HK),2016­2016,,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0
M Zondeki (SA),2006­2006,,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
Aamer Yamin (PAK),2015­2015,,1,­,­,­,­,­,­,­,­,­,­,­,­
YA Abdulla (SA),2009­2009,,2,­,­,­,­,­,­,­,­,­,­,­,­
Abdur Rauf (PAK),2008­2008,,1,­,­,­,­,­,­,­,­,­,­,­,­
GW Aldridge (NZ),2011­2011,,1,­,­,­,­,­,­,­,­,­,­,­,­
TR Ambrose (ENG),2008­2008,,1,­,­,­,­,­,­,­,­,­,­,­,­
S Aravind (INDIA),2015­2015,,1,­,­,­,­,­,­,­,­,­,­,­,­
Arsalan Qadir (Can),2010­2010,,1,­,­,­,­,­,­,­,­,­,­,­,­
Asad Ali (PAK),2013­2013,,2,­,­,­,­,­,­,­,­,­,­,­,­
P Awana (INDIA),2012­2012,,2,­,­,­,­,­,­,­,­,­,­,­,­
LS Baker (WI),2008­2009,,3,­,­,­,­,­,­,­,­,­,­,­,­
L Balaji (INDIA),2012­2012,,5,­,­,­,­,­,­,­,­,­,­,­,­
TC Bastiampillai (Can),2010­2010,,2,­,­,­,­,­,­,­,­,­,­,­,­
MD Bates (NZ),2012­2012,,3,­,­,­,­,­,­,­,­,­,­,­,­
N Boje (SA),2005­2005,,1,­,­,­,­,­,­,­,­,­,­,­,­
SM Boland (AUS),2016­2016,,3,­,­,­,­,­,­,­,­,­,­,­,­
CG Burnett (SCOT),2013­2013,,1,­,­,­,­,­,­,­,­,­,­,­,­
DK Butler (WI),2006­2006,,1,­,­,­,­,­,­,­,­,­,­,­,­
YS Chahal (INDIA),2016­2016,,3,­,­,­,­,­,­,­,­,­,­,­,­
SR Clark (AUS),2006­2007,,9,­,­,­,­,­,­,­,­,­,­,­,­
D Daesrath (Can),2013­2013,,1,­,­,­,­,­,­,­,­,­,­,­,­
LA Dawson (ENG),2016­2016,,1,­,­,­,­,­,­,­,­,­,­,­,­
M de Lange (SA),2012­2015,,6,­,­,­,­,­,­,­,­,­,­,­,­
SI de Saram (SL),2009­2009,,1,­,­,­,­,­,­,­,­,­,­,­,­
BJ Diamanti (NZ),2009­2009,,1,­,­,­,­,­,­,­,­,­,­,­,­
PS Eaglestone (IRE),2010­2010,,1,­,­,­,­,­,­,­,­,­,­,­,­
Ehsan Nawaz (HK),2014­2016,,2,­,­,­,­,­,­,­,­,­,­,­,­
ST Gabriel (WI),2013­2013,,2,­,­,­,­,­,­,­,­,­,­,­,­
WT Gavera (PNG),2015­2015,,3,­,­,­,­,­,­,­,­,­,­,­,­
B Geeves (AUS),2009­2009,,1,­,­,­,­,­,­,­,­,­,­,­,­
DM Gondaria (Kenya),2013­2013,,2,­,­,­,­,­,­,­,­,­,­,­,­
D Gough (ENG),2005­2006,,2,­,­,­,­,­,­,­,­,­,­,­,­
HF Gurney (ENG),2014­2014,,2,­,­,­,­,­,­,­,­,­,­,­,­
SJ Harmison (ENG),2005­2006,,2,­,­,­,­,­,­,­,­,­,­,­,­
Hasan Ali (PAK),2016­2016,,3,­,­,­,­,­,­,­,­,­,­,­,­
JR Hazlewood (AUS),2013­2016,,7,­,­,­,­,­,­,­,­,­,­,­,­
Iftikhar Anjum (PAK),2007­2009,,2,­,­,­,­,­,­,­,­,­,­,­,­
Joginder Sharma (INDIA),2007­2007,,4,­,­,­,­,­,­,­,­,­,­,­,­
Jubair Hossain (BDESH),2015­2015,,1,­,­,­,­,­,­,­,­,­,­,­,­
TP Kamungozi (ZIM),2014­2014,,1,­,­,­,­,­,­,­,­,­,­,­,­
M Kartik (INDIA),2007­2007,,1,­,­,­,­,­,­,­,­,­,­,­,­
B Laughlin (AUS),2009­2013,,3,­,­,­,­,­,­,­,­,­,­,­,­
E Leie (SA),2015­2015,,2,­,­,­,­,­,­,­,­,­,­,­,­
RDM Leverock (Ber),2008­2008,,2,­,­,­,­,­,­,­,­,­,­,­,­
ML Lewis (AUS),2006­2006,,2,­,­,­,­,­,­,­,­,­,­,­,­
NM Lyon (AUS),2016­2016,,1,­,­,­,­,­,­,­,­,­,­,­,­
GT Main (SCOT),2015­2016,,4,­,­,­,­,­,­,­,­,­,­,­,­
Mansoor Amjad (PAK),2008­2008,,1,­,­,­,­,­,­,­,­,­,­,­,­
