B Geeves,2009-2009,1,1,3.2,0,35,2,Feb-35,17.5,10.5,10,0,0,0
JOA Gordon,2013-2013,2,2,7,0,62,2,Feb-30,31,8.85,21,0,0,0
NM Hauritz,2009-2009,3,2,7.2,0,47,2,Jan-20,23.5,6.4,22,0,0,0
PA Hitchcock,2008-2008,1,1,3,0,43,2,Feb-43,21.5,14.33,9,0,0,0
Imran Khan,2015-2015,3,3,12,0,106,2,Feb-35,53,8.83,36,0,0,0
MM Iqbal,2012-2013,6,3,8,0,59,2,Feb-15,29.5,7.37,24,0,0,0
Jubair Hossain,2015-2015,1,1,2,0,20,2,Feb-20,10,10,6,0,0,0
Kamran Shazad,2014-2014,3,3,8.4,0,77,2,Feb-19,38.5,8.88,26,0,0,0
P Khadka,2014-2015,11,11,28,1,170,2,01-Mar,85,6.07,84,0,0,0
A Khan,2009-2009,1,1,4,0,34,2,Feb-34,17,8.5,12,0,0,0
B Laughlin,2009-2013,3,3,11.5,0,118,2,Jan-32,59,9.97,35.5,0,0,0
KS Lokuarachchi,2012-2012,2,2,6,0,48,2,Feb-31,24,8,18,0,0,0
J Louw,2008-2009,2,2,7,0,54,2,Feb-36,27,7.71,21,0,0,0
AJ McKay,2010-2010,2,2,5.4,0,31,2,Feb-20,15.5,5.47,17,0,0,0
CS MacLeod,2009-2016,24,5,12,0,98,2,Feb-17,49,8.16,36,0,0,0
GI Maiden,2008-2008,3,3,10,0,58,2,Jan-20,29,5.8,30,0,0,0
GT Main,2015-2016,4,2,4,0,34,2,Jan-13,17,8.5,12,0,0,0
H Masakadza,2006-2016,50,9,12,0,113,2,01-Apr,56.5,9.41,36,0,0,0
MJ Mason,2006-2008,3,3,9,0,65,2,Jan-18,32.5,7.22,27,0,0,0
SC Meaker,2012-2012,2,2,7.5,0,70,2,Jan-28,35,8.93,23.5,0,0,0
CT Mutombodzi,2013-2016,5,3,10,0,81,2,Feb-28,40.5,8.1,30,0,0,0
M Nasim Baras,2015-2015,3,3,8,0,56,2,01-Nov,28,7,24,0,0,0
A Nel,2005-2007,2,2,8,0,42,2,Feb-19,21,5.25,24,0,0,0
MS Panesar,2007-2007,1,1,4,0,40,2,Feb-40,20,10,12,0,0,0
H Patel,2010-2013,11,5,9.5,0,83,2,Feb-23,41.5,8.44,29.5,0,0,0
N Pokana,2016-2016,3,3,5,0,30,2,01-May,15,6,15,0,0,0
DBL Powell,2007-2007,5,5,17,0,131,2,01-Jun,65.5,7.7,51,0,0,0
Raza-ur-Rehman,2012-2013,5,3,9,0,58,2,Feb-16,29,6.44,27,0,0,0
AJ Redmond,2009-2010,7,1,2.5,0,24,2,Feb-24,12,8.47,8.5,0,0,0
GA Rogers,2008-2009,2,2,7.5,0,67,2,Feb-15,33.5,8.55,23.5,0,0,0
IH Romaine,2008-2008,2,2,3.4,0,21,2,02-Feb,10.5,5.72,11,0,0,0
JD Ryder,2008-2014,22,5,10,0,68,2,01-Feb,34,6.8,30,0,0,0
RR Sarwan,2007-2010,18,1,2,0,10,2,02-Oct,5,5,6,0,0,0
Sharif Asadullah,2014-2014,1,1,3,0,21,2,Feb-21,10.5,7,9,0,0,0
Shuvagata Hom,2016-2016,5,4,11,0,71,2,Jan-18,35.5,6.45,33,0,0,0
EHSN Silva,2014-2014,2,2,7,0,58,2,Jan-20,29,8.28,21,0,0,0
Sohail Khan,2008-2011,3,3,7,0,51,2,Feb-13,25.5,7.28,21,0,0,0
R Telemachus,2006-2007,3,3,12,0,90,2,Jan-22,45,7.5,36,0,0,0
S Thuraisingam,2008-2008,3,3,7.5,0,44,2,Jan-13,22,5.61,23.5,0,0,0
CT Tremlett,2007-2007,1,1,4,0,45,2,Feb-45,22.5,11.25,12,0,0,0
AJ Tye,2016-2016,3,3,11.2,0,119,2,Jan-28,59.5,10.5,34,0,0,0
AC Voges,2007-2013,7,1,2,0,5,2,02-May,2.5,2.5,6,0,0,0
SR Welsh,2008-2008,1,1,3,0,6,2,02-Jun,3,2,9,0,0,0
AR White,2008-2012,18,1,4,0,18,2,Feb-18,9,4.5,12,0,0,0
G Wijekoon,2007-2007,3,3,11,0,101,2,01-Dec,50.5,9.18,33,0,0,0
KOK Williams,2016-2016,1,1,4,0,15,2,Feb-15,7.5,3.75,12,0,0,0
Aamer Yamin,2015-2015,1,1,2,0,12,1,01-Dec,12,6,12,0,0,0
SA Abbott,2014-2014,3,3,6,0,47,1,Jan-17,47,7.83,36,0,0,0
AC Agar,2016-2016,2,2,3,0,43,1,Jan-25,43,14.33,18,0,0,0
GW Aldridge,2011-2011,1,1,4,0,45,1,Jan-45,45,11.25,24,0,0,0
Amir Ali,2015-2016,10,5,9,0,67,1,01-Jun,67,7.44,54,0,0,0
S Aravind,2015-2015,1,1,3.4,0,44,1,Jan-44,44,12,22,0,0,0
Asghar Stanikzai,2010-2016,36,1,0.4,0,4,1,01-Apr,4,6,4,0,0,0
CD Barnwell,2011-2013,6,4,6,0,51,1,Jan-24,51,8.5,36,0,0,0
A Bhattarai,2014-2014,1,1,3,0,12,1,01-Dec,12,4,18,0,0,0
STR Binny,2015-2016,3,3,5,0,54,1,Jan-14,54,10.8,30,0,0,0
N Boje,2005-2005,1,1,4,0,27,1,Jan-27,27,6.75,24,0,0,0
SG Borthwick,2011-2011,1,1,4,0,15,1,Jan-15,15,3.75,24,0,0,0
CL Cairns,2005-2006,2,2,8,0,52,1,Jan-28,52,6.5,48,0,0,0
BCJ Cutting,2013-2014,4,4,11,0,99,1,Jan-18,99,9,66,0,0,0
H Davids,2012-2013,9,2,2,0,13,1,01-Jun,13,6.5,12,0,0,0
JL Denly,2009-2010,5,1,1,0,9,1,01-Sep,9,9,6,0,0,0
PA Desai,2012-2012,1,1,3,0,30,1,Jan-30,30,10,18,0,0,0
R Dhawan,2016-2016,1,1,4,0,42,1,Jan-42,42,10.5,24,0,0,0
Ehsan Khan,2016-2016,1,1,4,0,26,1,Jan-26,26,6.5,24,0,0,0
Fayyaz Ahmed,2015-2015,1,1,3,0,29,1,Jan-29,29,9.66,18,0,0,0
JN Gillespie,2005-2005,1,1,4,0,49,1,Jan-49,49,12.25,24,0,0,0
SJ Harmison,2005-2006,2,2,6.3,0,42,1,Jan-13,42,6.46,39,0,0,0
BJ Hodge,2007-2014,15,3,5,0,43,1,Jan-13,43,8.6,30,0,0,0
Iftikhar Anjum,2007-2009,2,2,8,0,67,1,Jan-34,67,8.37,48,0,0,0
AJ Ireland,2006-2006,1,1,3,0,33,1,Jan-33,33,11,18,0,0,0
A Karn,2015-2015,2,2,8,0,49,1,Jan-31,49,6.12,48,0,0,0
Khurram Chohan,2010-2010,4,4,12.1,0,106,1,Jan-24,106,8.71,73,0,0,0
Khurram Khan,2014-2014,3,1,1,0,8,1,01-Aug,8,8,6,0,0,0
VJ Kingma,2016-2016,1,1,4,0,32,1,Jan-32,32,8,24,0,0,0
RT Lyons,2010-2010,2,2,6,0,40,1,Jan-26,40,6.66,36,0,0,0
A Martin,2011-2011,1,1,3,0,20,1,Jan-20,20,6.66,18,0,0,0
T Maruma,2008-2016,10,2,3,0,20,1,01-Aug,20,6.66,18,0,0,0
Mohammad Nadeem,2015-2015,2,2,7,0,53,1,Jan-20,53,7.57,42,0,0,0
Mohammad Rafique,2006-2006,1,1,4,0,22,1,Jan-22,22,5.5,24,0,0,0
Mohammad Shahid,2016-2016,1,1,3,0,32,1,Jan-32,32,10.66,18,0,0,0
J Mubarak,2007-2009,16,2,1.2,0,17,1,01-Sep,17,12.75,8,0,0,0
J Mulder,2016-2016,1,1,4,0,25,1,Jan-25,25,6.25,24,0,0,0
T Mupariwa,2007-2008,4,4,13,0,94,1,Jan-22,94,7.23,78,0,0,0
Najeeb Amar,2014-2014,1,1,3,0,29,1,Jan-29,29,9.66,18,0,0,0
Nazmul Hossain,2009-2012,4,4,7,0,67,1,Jan-15,67,9.57,42,0,0,0
P Negi,2016-2016,1,1,3,0,16,1,Jan-16,16,5.33,18,0,0,0
L Nou,2015-2015,3,3,10,0,65,1,Jan-24,65,6.5,60,0,0,0
MP O'Dowd,2015-2016,5,2,2.4,0,14,1,01-Jul,14,5.25,16,0,0,0
JL Ontong,2008-2015,14,4,6,0,83,1,Jan-25,83,13.83,36,0,0,0
MA Parker,2012-2012,2,2,6,0,61,1,Jan-36,61,10.16,36,0,0,0
RR Patel,2008-2013,22,3,3,0,26,1,Jan-13,26,8.66,18,0,0,0
KP Pietersen,2005-2013,37,3,5,0,53,1,Jan-27,53,10.6,30,0,0,0
M Pushpakumara,2009-2009,1,1,3,0,27,1,Jan-27,27,9,18,0,0,0
RLB Rambukwella,2013-2016,2,2,6.3,0,46,1,Jan-19,46,7.07,39,0,0,0
KW Richardson,2014-2016,3,3,10,0,82,1,Jan-13,82,8.2,60,0,0,0
AM Samad,2008-2010,7,1,2,0,36,1,Jan-36,36,18,12,0,0,0
Sandeep Sharma,2015-2015,2,2,7,0,73,1,Jan-39,73,10.42,42,0,0,0
KV Sharma,2014-2014,1,1,4,0,28,1,Jan-28,28,7,24,0,0,0
RG Sharma,2007-2016,62,9,11.2,0,113,1,Jan-22,113,9.97,68,0,0,0
LPC Silva,2006-2011,16,2,3,0,15,1,01-Apr,15,5,18,0,0,0
Sufyan Mehmood,2015-2016,2,2,4.3,0,30,1,Jan-22,30,6.66,27,0,0,0
Tanvir Ahmed,2010-2010,1,1,3,0,13,1,Jan-13,13,4.33,18,0,0,0
BRM Taylor,2006-2014,26,2,5,0,17,1,Jan-16,17,3.4,30,0,0,0
SR Tendulkar,2006-2006,1,1,2.3,0,12,1,01-Dec,12,4.8,15,0,0,0
EP Thompson,2008-2008,1,1,3,1,18,1,Jan-18,18,6,18,0,0,0
GC Tonge,2009-2009,1,1,4,0,25,1,Jan-25,25,6.25,24,0,0,0
Umair Ali,2015-2015,3,2,4,0,28,1,Jan-13,28,7,24,0,0,0
DLS van Bunge,2008-2013,14,2,2.2,0,15,1,Jan-14,15,6.42,14,0,0,0
UWMBCA Welegedara,2010-2010,2,2,6,0,61,1,Jan-21,61,10.16,36,0,0,0
CL White,2007-2014,47,5,7,0,51,1,01-Nov,51,7.28,42,0,0,0
LJ Woodcock,2010-2011,3,3,10,0,70,1,Jan-30,70,7,60,0,0,0
GH Worker,2015-2015,2,1,2,0,19,1,Jan-19,19,9.5,12,0,0,0
UT Yadav,2012-2012,1,1,3,0,24,1,Jan-24,24,8,18,0,0,0
Zaheer Maqsood,2015-2016,3,3,9,0,80,1,Jan-29,80,8.88,54,0,0,0
Zamir Khan,2012-2012,1,1,4,0,26,1,Jan-26,26,6.5,24,0,0,0
C Zhuwao,2008-2011,5,1,0.2,0,1,1,01-Jan,1,3,2,0,0,0
M Zondeki,2006-2006,1,1,3,0,41,1,Jan-41,41,13.66,18,0,0,0
Abdur Rauf,2008-2008,1,1,3,0,21,0,0,0,7,0,0,0,0
Aftab Ahmed,2006-2010,11,1,0.2,0,8,0,0,0,24,0,0,0,0
Ahmed Shehzad,2009-2016,44,1,1,0,10,0,0,0,10,0,0,0,0
J Anderson,2015-2015,4,1,1,0,13,0,0,0,13,0,0,0,0
Arsalan Qadir,2010-2010,1,1,1,0,12,0,0,0,12,0,0,0,0
Asad Ali,2013-2013,2,2,4,0,33,0,0,0,8.25,0,0,0,0
TD Astle,2016-2016,2,2,4,0,41,0,0,0,10.25,0,0,0,0
P Awana,2012-2012,2,2,6,0,71,0,0,0,11.83,0,0,0,0
KMC Bandara,2016-2016,1,1,1,0,11,0,0,0,11,0,0,0,0
GEF Barnett,2008-2010,5,1,1,0,11,0,0,0,11,0,0,0,0
