Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Khurram Manzoor (PAK),2016­2016,3,­,­,­,­,­,­,­,­,­,­,­
C Kieswetter (ENG),2010­2012,25,­,­,­,­,­,­,­,­,­,­,­
HG Kuhn (SA),2009­2011,5,­,­,­,­,­,­,­,­,­,­,­
HGJM Kulatunga (SL),2008­2008,2,­,­,­,­,­,­,­,­,­,­,­
NR Kumar (Can),2012­2013,6,­,­,­,­,­,­,­,­,­,­,­
TWM Latham (NZ),2012­2015,12,­,­,­,­,­,­,­,­,­,­,­
RE Levi (SA),2012­2012,13,­,­,­,­,­,­,­,­,­,­,­
E Lewis (WI),2016­2016,5,­,­,­,­,­,­,­,­,­,­,­
Liton Das (BDESH),2015­2015,3,­,­,­,­,­,­,­,­,­,­,­
MJ Lumb (ENG),2010­2014,27,­,­,­,­,­,­,­,­,­,­,­
CA Lynn (AUS),2014­2016,5,­,­,­,­,­,­,­,­,­,­,­
NFI McCallum (SCOT),2007­2010,11,­,­,­,­,­,­,­,­,­,­,­
BB McCullum (NZ),2005­2015,71,­,­,­,­,­,­,­,­,­,­,­
PD McGlashan (NZ),2006­2010,11,­,­,­,­,­,­,­,­,­,­,­
ND McKenzie (SA),2006­2009,2,­,­,­,­,­,­,­,­,­,­,­
CD McMillan (NZ),2005­2007,8,­,­,­,­,­,­,­,­,­,­,­
NJ Maddinson (AUS),2013­2014,2,­,­,­,­,­,­,­,­,­,­,­
RP Magar (Nepal),2014­2015,6,­,­,­,­,­,­,­,­,­,­,­
G Malla (Nepal),2014­2015,11,­,­,­,­,­,­,­,­,­,­,­
AK Mandal (Nepal),2015­2015,2,­,­,­,­,­,­,­,­,­,­,­
Mandeep Singh (INDIA),2016­2016,3,­,­,­,­,­,­,­,­,­,­,­
SE Marsh (AUS),2008­2016,15,­,­,­,­,­,­,­,­,­,­,­
HJH Marshall (NZ),2005­2006,3,­,­,­,­,­,­,­,­,­,­,­
JAH Marshall (NZ),2005­2008,3,­,­,­,­,­,­,­,­,­,­,­
XM Marshall (WI),2008­2009,6,­,­,­,­,­,­,­,­,­,­,­
DR Martyn (AUS),2005­2006,4,­,­,­,­,­,­,­,­,­,­,­
RD McCann (IRE),2012­2012,3,­,­,­,­,­,­,­,­,­,­,­
BKG Mendis (SL),2016­2016,3,­,­,­,­,­,­,­,­,­,­,­
DA Miller (SA),2010­2016,46,­,­,­,­,­,­,­,­,­,­,­
Misbah­ul­Haq (PAK),2007­2012,39,­,­,­,­,­,­,­,­,­,­,­
Mohammad Iqbal (Can),2008­2008,3,­,­,­,­,­,­,­,­,­,­,­
Mohammad Mithun (BDESH),2014­2016,12,­,­,­,­,­,­,­,­,­,­,­
Mohammad Qazi (Can),2008­2008,1,­,­,­,­,­,­,­,­,­,­,­
Mohammad Rizwan (PAK),2015­2016,10,­,­,­,­,­,­,­,­,­,­,­
Mohammad Salman (PAK),2011­2011,1,­,­,­,­,­,­,­,­,­,­,­
Mohammad Shahzad (AFG),2010­2016,48,­,­,­,­,­,­,­,­,­,­,­
Mohammad Yousuf (PAK),2006­2010,3,­,­,­,­,­,­,­,­,­,­,­
GMC Mol (Neth),2008­2008,1,­,­,­,­,­,­,­,­,­,­,­
D Mongia (INDIA),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
PJ Moor (ZIM),2016­2016,8,­,­,­,­,­,­,­,­,­,­,­
VV Morea (PNG),2015­2016,4,­,­,­,­,­,­,­,­,­,­,­
EJG Morgan (ENG),2009­2016,64,­,­,­,­,­,­,­,­,­,­,­
RS Morton (WI),2006­2010,7,­,­,­,­,­,­,­,­,­,­,­
Muhammad Kaleem (UAE),2016­2016,9,­,­,­,­,­,­,­,­,­,­,­
Muhammad Usman (UAE),2016­2016,11,­,­,­,­,­,­,­,­,­,­,­
Mukhtar Ahmed (PAK),2015­2015,6,­,­,­,­,­,­,­,­,­,­,­
AA Mulla (Can),2008­2008,4,­,­,­,­,­,­,­,­,­,­,­
EMDY Munaweera (SL),2012­2013,4,­,­,­,­,­,­,­,­,­,­,­
Munir Dar (HK),2014­2014,2,­,­,­,­,­,­,­,­,­,­,­
HG Munsey (SCOT),2015­2016,13,­,­,­,­,­,­,­,­,­,­,­
