Batsman,Bowler,Zeroes,Ones,Twos,Threes,Fours,Fives,Sixes,Sevens,Dismissed,Runs,Balls,SR
RG Sharma,UT Yadav,5,2,0,0,6,0,1,0,0,32,14,228.57
RG Sharma,M Morkel,3,3,0,0,0,0,0,0,0,3,6,50
RG Sharma,Shakib Al Hasan,4,4,0,0,3,0,1,0,0,22,12,183.33
RG Sharma,SP Narine,8,6,0,0,3,0,1,0,0,24,18,133.33
RG Sharma,AD Russell,2,5,0,0,0,0,1,0,0,11,8,137.5
RG Sharma,PP Chawla,2,4,1,0,0,0,0,0,0,6,7,85.71
AJ Finch,UT Yadav,1,1,0,0,0,0,0,0,0,1,2,50
AJ Finch,M Morkel,2,0,0,0,1,0,0,0,1,4,3,133.33
AP Tare,M Morkel,1,2,0,0,1,0,0,0,0,6,4,150
AP Tare,Shakib Al Hasan,2,1,0,0,0,0,0,0,1,1,3,33.33
AT Rayudu,M Morkel,2,0,0,0,0,0,0,0,1,0,2,0
CJ Anderson,UT Yadav,0,1,1,0,0,0,0,0,0,3,2,150
CJ Anderson,M Morkel,7,1,0,0,1,0,0,0,0,5,9,55.55
CJ Anderson,Shakib Al Hasan,1,3,2,0,1,0,2,0,0,23,9,255.55
CJ Anderson,SP Narine,2,4,0,0,0,0,0,0,0,4,6,66.66
CJ Anderson,AD Russell,5,4,0,0,0,0,1,0,0,10,10,100
CJ Anderson,PP Chawla,1,2,0,0,2,0,0,0,0,10,5,200
RV Uthappa,SL Malinga,4,1,0,0,0,0,0,0,0,1,5,20
RV Uthappa,R Vinay Kumar,2,1,0,0,0,0,0,0,0,1,3,33.33
RV Uthappa,CJ Anderson,2,1,0,0,0,0,1,0,1,7,4,175
G Gambhir,SL Malinga,2,1,0,0,0,0,0,0,0,1,3,33.33
G Gambhir,R Vinay Kumar,7,2,0,0,1,0,0,0,0,6,10,60
G Gambhir,CJ Anderson,1,1,0,0,0,0,0,0,0,1,2,50
G Gambhir,JJ Bumrah,3,1,0,0,1,0,0,0,1,5,5,100
G Gambhir,PP Ojha,1,4,2,0,0,0,1,0,0,14,8,175
G Gambhir,Harbhajan Singh,2,6,2,0,5,0,0,0,0,30,15,200
MK Pandey,SL Malinga,1,2,0,0,0,0,1,0,0,8,4,200
MK Pandey,R Vinay Kumar,0,1,0,0,0,0,0,0,0,1,1,100
MK Pandey,CJ Anderson,2,1,1,0,1,0,1,0,0,13,6,216.66
MK Pandey,JJ Bumrah,1,1,0,0,1,0,0,0,0,5,3,166.66
MK Pandey,PP Ojha,0,3,0,0,0,0,1,0,0,9,4,225
MK Pandey,Harbhajan Singh,2,4,0,0,0,0,0,0,1,4,6,66.66
SA Yadav,SL Malinga,1,2,1,0,0,0,1,0,0,10,5,200
SA Yadav,R Vinay Kumar,1,2,0,0,1,0,1,0,0,12,5,240
SA Yadav,JJ Bumrah,2,2,0,0,0,0,3,0,0,20,7,285.71
SA Yadav,Harbhajan Singh,0,2,1,0,0,0,0,0,0,4,3,133.33
YK Pathan,SL Malinga,4,2,0,0,1,0,0,0,0,6,7,85.71
YK Pathan,R Vinay Kumar,1,1,0,0,0,0,0,0,0,1,2,50
YK Pathan,JJ Bumrah,1,1,0,0,0,0,1,0,0,7,3,233.33
DR Smith,JA Morkel,3,2,0,0,3,0,0,0,0,14,8,175
DR Smith,NM Coulter-Nile,3,1,0,0,0,0,0,0,0,1,4,25
DR Smith,DJ Muthuswami,5,2,1,0,2,0,0,0,0,12,10,120
DR Smith,Imran Tahir,4,1,0,0,1,0,0,0,1,5,6,83.33
DR Smith,A Mishra,1,2,0,0,0,0,0,0,0,2,3,66.66
BB McCullum,NM Coulter-Nile,1,0,0,0,1,0,0,0,1,4,2,200
SK Raina,NM Coulter-Nile,5,1,0,1,0,0,0,0,1,4,7,57.14
F du Plessis,JA Morkel,1,1,1,0,1,0,0,0,0,7,4,175
F du Plessis,DJ Muthuswami,0,1,0,0,1,0,0,0,0,5,2,250
F du Plessis,Imran Tahir,1,2,1,0,0,0,0,0,0,4,4,100
F du Plessis,A Mishra,2,4,2,0,0,0,0,0,0,8,8,100
F du Plessis,JP Duminy,3,0,2,0,1,0,0,0,1,8,6,133.33
RA Jadeja,JA Morkel,2,1,0,0,0,0,0,0,0,1,3,33.33
RA Jadeja,Imran Tahir,1,1,0,0,1,0,0,0,0,5,3,166.66
RA Jadeja,A Mishra,5,2,0,0,0,0,1,0,1,8,8,100
RA Jadeja,JP Duminy,1,3,0,0,0,0,0,0,0,3,4,75
MS Dhoni,JA Morkel,1,1,0,0,1,0,0,0,0,5,3,166.66
MS Dhoni,NM Coulter-Nile,6,1,0,0,0,0,2,0,1,13,9,144.44
MS Dhoni,DJ Muthuswami,2,1,0,0,0,0,0,0,0,1,3,33.33
MS Dhoni,Imran Tahir,2,4,1,0,0,0,0,0,0,6,7,85.71
MS Dhoni,A Mishra,1,2,0,0,0,0,0,0,0,2,3,66.66
MS Dhoni,JP Duminy,0,1,1,0,0,0,0,0,0,3,2,150
DJ Bravo,DJ Muthuswami,1,0,0,0,0,0,0,0,1,0,1,0
DJ Bravo,A Mishra,1,1,0,0,0,0,0,0,0,1,2,50
R Ashwin,NM Coulter-Nile,0,1,0,0,1,0,0,0,0,5,2,250
R Ashwin,DJ Muthuswami,2,0,0,0,0,0,0,0,0,0,2,0
R Ashwin,Imran Tahir,0,1,3,0,0,0,0,0,0,7,4,175
MM Sharma,NM Coulter-Nile,0,0,1,0,0,0,0,0,0,2,1,200
MA Agarwal,A Nehra,6,0,0,0,2,0,0,0,1,8,8,100
MA Agarwal,MM Sharma,2,1,0,0,0,0,1,0,0,7,4,175
CM Gautam,A Nehra,2,0,1,0,0,0,0,0,1,2,3,66.66
CM Gautam,MM Sharma,0,2,0,0,0,0,0,0,0,2,2,100
JA Morkel,A Nehra,1,4,0,0,0,0,0,0,0,4,5,80
JA Morkel,MM Sharma,2,4,0,0,2,0,0,0,0,12,8,150
JA Morkel,IC Pandey,5,4,2,0,2,0,0,0,0,16,13,123.07
JA Morkel,R Ashwin,5,6,1,0,1,0,0,0,0,12,13,92.3
JA Morkel,DJ Bravo,3,7,2,0,3,0,1,0,0,29,16,181.25
SS Iyer,A Nehra,3,1,0,0,1,0,0,0,1,5,5,100
SS Iyer,MM Sharma,0,2,0,0,0,0,0,0,0,2,2,100
KM Jadhav,MM Sharma,4,0,0,0,0,0,0,0,1,0,4,0
KM Jadhav,IC Pandey,2,3,0,0,1,0,0,0,0,7,6,116.66
KM Jadhav,R Ashwin,1,5,1,0,1,0,0,0,0,11,8,137.5
KM Jadhav,DJ Bravo,0,2,0,0,0,0,0,0,0,2,2,100
Yuvraj Singh,MM Sharma,0,1,2,0,1,0,0,0,0,9,4,225
Yuvraj Singh,DJ Bravo,2,0,0,0,0,0,0,0,1,0,2,0
JP Duminy,IC Pandey,1,1,1,0,0,0,0,0,1,3,3,100
JP Duminy,DJ Bravo,0,2,0,0,0,0,0,0,0,2,2,100
NM Coulter-Nile,IC Pandey,1,0,0,0,1,0,0,0,0,4,2,200
NM Coulter-Nile,R Ashwin,1,0,0,0,0,0,0,0,1,0,1,0
NM Coulter-Nile,DJ Bravo,0,1,0,0,0,0,0,0,0,1,1,100
A Mishra,A Nehra,0,1,1,0,0,0,0,0,0,3,2,150
A Mishra,R Ashwin,1,1,0,0,0,0,0,0,0,1,2,50
Imran Tahir,A Nehra,0,0,1,0,0,0,0,0,0,2,1,200
Imran Tahir,DJ Bravo,1,0,0,0,0,0,0,0,1,0,1,0
AM Rahane,Sandeep Sharma,6,0,0,0,0,0,0,0,0,0,6,0
AM Rahane,Anureet Singh,2,0,0,0,0,0,0,0,1,0,2,0
SV Samson,Sandeep Sharma,2,1,0,0,0,0,0,0,1,1,3,33.33
SV Samson,Anureet Singh,1,1,0,1,0,0,0,0,0,4,3,133.33
SPD Smith,Sandeep Sharma,1,5,1,0,1,0,0,0,0,11,8,137.5
SPD Smith,Anureet Singh,1,1,0,0,0,0,0,0,0,1,2,50
